Point,X,Y
1,1536.3548922056384,487.72470978441123
2,1916.5373134328358,505.1376451077943
3,2360.5671641791046,510.94195688225534
4,2377.9800995024875,885.3200663349917
5,1962.971807628524,899.8308457711441
6,1553.7678275290216,911.4394693200662
7,1562.474295190713,1297.4262023217245
8,1965.8739635157544,1288.719734660033
9,2375.077943615257,1320.6434494195687
10,1542.1592039800994,1712.4344941956883
11,1968.776119402985,1735.6517412935325
12,2398.295190713101,1697.9237147595356
13,1517.8995454824646,2164.1190498126653
14,1969.3460168294334,2125.826715189485
15,2388.5463116516185,2125.826715189485
16,2823.8696947361955,2141.949803451877
17,2823.8696947361955,2593.3962747988458
18,2402.654013881211,2611.534749094036
19,1949.1921565014438,2607.5039770284384
20,1507.8226153184698,2587.350116700449
